Name	TPM
YPL142C_mRNA	412.538627
YNL178W_mRNA	377.831182
YML063W_mRNA	58.551463
YKL006W_mRNA	260.114670
YHL015W_mRNA	697.695807
YML058W_mRNA	61.195065
YGL008C_mRNA	91.263555
YBR118W_mRNA	586.460820
YGL076C_mRNA	232.833063
YLR333C_mRNA	188.801430
YHR021C_mRNA	1260.566616
YDR025W_mRNA	232.741615
YDR363W-A_mRNA	95.816705
YOL127W_mRNA	388.646886
YJR094W-A_mRNA	392.124020
YKR057W_mRNA	691.952137
YGL105W_mRNA	51.039205
YFR032C-A_mRNA	3422.799993
YDL191W_mRNA	247.322301
YBR009C_mRNA	136.865243
YGL189C_mRNA	284.084577
YDR382W_mRNA	452.711694
YNL017C_mRNA	375.151529
YPL131W_mRNA	215.965249
YLR149C-A_mRNA	52.428009
YDL082W_mRNA	100.672096
YBL003C_mRNA	88.697236
YIL051C_mRNA	91.171105
YGR148C_mRNA	138.605905
YPL061W_mRNA	58.251605
YPR044C_mRNA	215.483289
YHR141C_mRNA	349.835862
YER072W_mRNA	105.971507
YDL075W_mRNA	333.735281
YOR332W_mRNA	73.692081
YMR142C_mRNA	213.406424
YNL024C-A_mRNA	83.011014
YDR155C_mRNA	150.127751
YBL027W_mRNA	169.396649
YMR143W_mRNA	176.033303
YOR369C_mRNA	370.242968
YML026C_mRNA	154.678797
YOR122C_mRNA	81.687074
YLR325C_mRNA	1900.515313
YDR064W_mRNA	361.990798
YKL153W_mRNA	162.247855
YEL026W_mRNA	72.684285
YBR010W_mRNA	99.882547
YOR298C-A_mRNA	74.654770
YDL232W_mRNA	87.380014
YJL136C_mRNA	1163.864938
YDR050C_mRNA	336.831932
YLR150W_mRNA	205.342909
YGR085C_mRNA	124.611396
YPR080W_mRNA	774.356977
YAL038W_mRNA	156.662320
YER043C_mRNA	54.798063
YNL055C_mRNA	59.793543
YGL102C_mRNA	337.604243
YER177W_mRNA	72.680817
YPR036W-A_mRNA	515.542085
YJL159W_mRNA	87.947220
YMR046W-A_mRNA	187.934118
YNL145W_mRNA	436.900072
YDR278C_mRNA	6774.610508
YKL081W_mRNA	72.423726
YJR009C_mRNA	359.713486
YDL083C_mRNA	162.313572
YHR039C-A_mRNA	72.452595
YJR145C_mRNA	83.650657
YIL133C_mRNA	119.186340
YIL002W-A_mRNA	71.492739
YNL042W-B_mRNA	2575.051033
YER131W_mRNA	135.024609
YOL039W_mRNA	614.228835
YNL162W_mRNA	314.252248
